Player_ID,Season,Matches_Available,Starts,Substitute_Appearances,Full_Matches_Played,Minutes_Played,Goals,Assists,Yellow_Cards,Red_Cards,Training_Sessions_Available,Training_Sessions_Completed,Attendance_Rate_%,Average_Match_Rating
P001,2024/2025,30,21,4,14,1691,5,3,0,0,100,95,95.0,8.0
P002,2024/2025,30,16,10,6,1339,0,0,3,0,100,80,80.0,7.2
P003,2024/2025,28,12,15,4,937,4,9,5,0,100,81,81.0,7.2
P004,2024/2025,26,12,4,4,952,0,2,6,0,100,89,89.0,6.2
P005,2024/2025,35,17,3,11,1385,5,12,0,1,100,72,72.0,7.1
P006,2024/2025,35,21,1,12,1743,6,2,7,0,100,91,91.0,6.9
P007,2024/2025,30,23,2,15,1530,4,5,8,1,100,82,82.0,6.9
P008,2024/2025,34,18,10,8,808,11,8,7,1,100,80,80.0,6.7
P009,2024/2025,32,19,2,10,1117,0,0,4,1,100,87,87.0,6.6
P010,2024/2025,34,18,0,11,1185,5,4,7,0,100,91,91.0,7.4
P011,2024/2025,35,25,7,10,1090,5,5,3,1,100,90,90.0,7.3
P012,2024/2025,30,24,4,14,1695,9,7,7,1,100,87,87.0,6.6
P013,2024/2025,28,11,6,6,601,4,5,3,0,100,76,76.0,7.5
P014,2024/2025,29,26,2,11,1387,5,5,2,1,100,88,88.0,6.0
P015,2024/2025,33,13,8,5,505,0,0,4,0,100,100,100.0,7.3
P016,2024/2025,32,12,0,8,865,18,8,5,0,100,93,93.0,7.9
P017,2024/2025,29,23,0,10,1720,3,0,2,0,100,68,68.0,7.6
P018,2024/2025,29,10,7,4,645,3,4,8,1,100,79,79.0,6.9
P019,2024/2025,32,18,13,11,1429,2,4,1,0,100,68,68.0,7.3
P020,2024/2025,29,10,5,5,538,9,3,0,1,100,75,75.0,6.9
P021,2024/2025,34,25,4,10,1374,2,5,7,0,100,83,83.0,7.4
P022,2024/2025,29,26,1,16,1557,0,0,3,0,100,99,99.0,7.8
P023,2024/2025,27,10,1,5,607,0,0,7,0,100,83,83.0,6.9
P024,2024/2025,29,20,4,12,1632,18,8,0,1,100,70,70.0,7.5
P025,2024/2025,34,18,0,7,864,0,0,4,0,100,66,66.0,7.5
P026,2024/2025,27,23,4,16,1724,8,7,1,1,100,96,96.0,6.7
P027,2024/2025,30,19,10,7,1508,3,7,7,1,100,91,91.0,7.3
P028,2024/2025,31,26,0,17,1620,6,6,1,1,100,85,85.0,7.7
P029,2024/2025,25,21,3,8,1104,14,8,0,0,100,93,93.0,6.5
P030,2024/2025,27,17,7,11,1238,0,0,0,0,100,72,72.0,7.4
P031,2024/2025,29,25,0,16,1535,10,2,1,0,100,94,94.0,7.0
P032,2024/2025,29,24,5,13,1595,8,9,7,0,100,80,80.0,6.8
P033,2024/2025,34,26,2,11,1555,0,0,5,1,100,91,91.0,7.6
P034,2024/2025,29,17,9,10,1401,3,9,7,1,100,99,99.0,6.7
P035,2024/2025,33,21,7,10,1093,4,11,3,1,100,89,89.0,6.1
P036,2024/2025,32,21,6,13,1325,3,0,8,1,100,73,73.0,7.7
P037,2024/2025,32,12,16,7,637,1,3,1,1,100,74,74.0,7.6
P038,2024/2025,29,18,9,12,1283,0,0,5,1,100,70,70.0,7.9
P039,2024/2025,35,25,8,10,1040,1,5,3,0,100,83,83.0,6.9
P040,2024/2025,26,10,14,5,805,0,0,0,0,100,84,84.0,6.6
P041,2024/2025,25,16,5,8,1161,1,1,6,0,100,98,98.0,6.3
P042,2024/2025,26,19,3,10,1497,1,1,4,1,100,94,94.0,6.5
P043,2024/2025,25,21,2,13,1729,1,0,5,1,100,93,93.0,7.3
P044,2024/2025,31,17,7,8,923,3,3,3,1,100,71,71.0,7.1
P045,2024/2025,34,19,9,7,1479,15,5,0,1,100,65,65.0,7.7
P046,2024/2025,29,15,9,8,944,4,11,2,0,100,81,81.0,7.8
P047,2024/2025,35,11,9,7,647,10,7,1,1,100,73,73.0,6.7
